new_index,vis_stim,block_type
0,Summer,am
1,95 + 5,ma
2,Classroom,am
3,38 + 49,ma
4,Trip,am
5,98 - 47,ma
6,School trip,am
7,82 - 15,ma
8,Tradition,am
9,96 - 24,ma
10,Bike,am
11,22 + 66,ma
12,Beach,am
13,2 + 11,ma
14,Christmas,am
15,69 + 31,ma
16,Picnic,am
17,47 - 6,ma
18,Dream,am
19,43 + 60,ma
20,Dance,am
21,22 * 3,ma
22,Game,am
23,6 + 21,ma
24,Music,am
25,23 + 28,ma
26,Love,am
27,36 + 65,ma
28,Nature,am
29,46 + 54,ma
30,Teaching,am
31,69 - 35,ma
32,Failure,am
33,60 - 27,ma
34,Discovery,am
35,42 / 2,ma
36,Summer,am
37,70 + 30,ma
38,car,am
39,63 + 45,ma
40,Hike,am
41,21 * 4,ma
42,FOREST,am
43,71 - 26,ma
