new_index,vis_stim,block_type
0,FOREST,am
1,22 * 3,ma
2,Game,am
3,6 + 21,ma
4,Music,am
5,23 + 28,ma
6,Love,am
7,36 + 65,ma
8,Nature,am
9,46 + 54,ma
10,Teaching,am
11,69 - 35,ma
12,Failure,am
13,60 - 27,ma
14,Discovery,am
15,42 / 2,ma
16,Summer,am
17,70 + 30,ma
18,car,am
19,63 + 45,ma
20,Hike,am
21,21 * 4,ma
22,FOREST,am
23,71 - 26,ma
24,COFFEE,am
25,23 + 28,ma
26,GARDEN,am
27,36 + 65,ma
28,FIRE,am
29,75 / 5,ma
30,ARM,am
31,69 - 35,ma
32,TOY,am
33,60 - 27,ma
34,FURNITURE,am
35,42 / 2,ma
36,PAPER,am
37,55 + 12,ma
38,WINDOW,am
39,63 + 45,ma
40,WINE,am
41,21 * 4,ma
42,FOREST,am
43,33 * 2,ma
