3.6227 	INFO 	---START PARAMETERS---
3.6227 	INFO 	filename: TappingWithTrTiming_Movie_d3.py-1-7-Jul_25_1635
3.6227 	INFO 	subject: 1
3.6227 	INFO 	session: 7
3.6227 	INFO 	date: Jul_25_1635
3.6227 	INFO 	blockDur_TRs: 20
3.6227 	INFO 	condition: TapRight
3.6227 	INFO 	fixCrossPos: [0, 0]
3.6228 	INFO 	fixCrossSize: 100
3.6228 	INFO 	fullScreen: True
3.6228 	INFO 	movieFolder: Images/
3.6228 	INFO 	movieSize: (400, 250)
3.6228 	INFO 	nBlocks: 12
3.6228 	INFO 	promptDir: Text/
3.6228 	INFO 	restDur_TRs: 20
3.6228 	INFO 	screenColor: (128, 128, 128)
3.6228 	INFO 	screenToShow: 0
3.6228 	INFO 	skipPrompts: False
3.6228 	INFO 	tStartup_TRs: 0
3.6228 	INFO 	textHeight: 40
3.6228 	INFO 	triggerKey: t
3.6228 	INFO 	---END PARAMETERS---
3.7279 	WARNING 	Movie2 stim could not be imported and won't be available
4.4278 	INFO 	Loaded monitor calibration from ['2015_12_02 12:18']
4.8832 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 128.,  128.,  128.]), colorSpace='rgb255', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x1002bdc8>, name='win', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units='deg', useFBO=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8845 	EXP 	Created fixCross = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='#000000', lineColorSpace='hex', lineRGB=array([0, 0, 0]), lineWidth=3.0, name='fixCross', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
4.9401 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([ 0. ,  0.5]), rgb=array([0, 0, 0]), text=u'aaa', units='norm', win=Window(...), wrapWidth=1.5)
4.9436 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([ 0. , -0.5]), rgb=array([0, 0, 0]), text=u'bbb', units='norm', win=Window(...), wrapWidth=1.5)
4.9769 	EXP 	Created Movie Frame 0 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_0.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 0', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
4.9999 	EXP 	Created Movie Frame 1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_1.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.0203 	EXP 	Created Movie Frame 2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_2.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.0415 	EXP 	Created Movie Frame 3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_3.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.0633 	EXP 	Created Movie Frame 4 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_4.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 4', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.0847 	EXP 	Created Movie Frame 5 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_5.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 5', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.1063 	EXP 	Created Movie Frame 6 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_6.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 6', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.1263 	EXP 	Created Movie Frame 7 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_7.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 7', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.1489 	EXP 	Created Movie Frame 8 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_8.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 8', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.1722 	EXP 	Created Movie Frame 9 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_9.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 9', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 400.,  250.]), texRes=128, units='pix', win=Window(...))
5.1854 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=40, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([   0.,  205.]), rgb=array([0, 0, 0]), text=u'Tap along with the video.', units='pix', win=Window(...), wrapWidth=400)
5.2501 	EXP 	topMsg: text = 'You will see a movie of a finger tapping. When it is on the screen, try to use the hand indicated to tap your fingers at the same times as the movie does. When the fixation cross appears, relax and stare at the cross.'
5.2501 	EXP 	bottomMsg: text = 'The experiment will begin sortly'
5.2501 	EXP 	Display Instructions1
11.8849 	DATA 	Keypress: return
11.9001 	EXP 	topMsg: text = "Please don't move..."
11.9001 	EXP 	bottomMsg: text = ''
11.9001 	EXP 	PleaseDontMove
13.5487 	DATA 	Keypress: t
13.5629 	EXP 	Display Fixation
13.5629 	EXP 	---START EXPERIMENT---
13.5782 	EXP 	Display Fixation
14.4529 	DATA 	Keypress: t
14.8128 	DATA 	Keypress: t
14.9727 	DATA 	Keypress: t
15.1327 	DATA 	Keypress: t
15.3407 	DATA 	Keypress: t
15.4768 	DATA 	Keypress: t
15.6126 	DATA 	Keypress: t
15.7246 	DATA 	Keypress: t
