6.8484 	INFO 	---START PARAMETERS---
6.8484 	INFO 	filename: TappingWithTrTiming_Movie_d3.py-tt-140-May_27_1821
6.8484 	INFO 	subject: tt
6.8484 	INFO 	session: 140
6.8484 	INFO 	date: May_27_1821
6.8484 	INFO 	blockDur_TRs: 20
6.8484 	INFO 	condition: TapFast
6.8484 	INFO 	fixCrossPos: [0, 0]
6.8484 	INFO 	fixCrossSize: 100
6.8484 	INFO 	fullScreen: True
6.8484 	INFO 	movieFolder: Images/
6.8484 	INFO 	movieSize: (1600, 1000)
6.8484 	INFO 	nBlocks: 68
6.8484 	INFO 	promptDir: Text/
6.8484 	INFO 	restDur_TRs: 20
6.8484 	INFO 	screenColor: (128, 128, 128)
6.8484 	INFO 	screenToShow: 0
6.8484 	INFO 	skipPrompts: False
6.8484 	INFO 	tStartup_TRs: 0
6.8484 	INFO 	textHeight: 40
6.8484 	INFO 	triggerKey: t
6.8484 	INFO 	---END PARAMETERS---
6.8913 	WARNING 	Movie2 stim could not be imported and won't be available
7.1620 	INFO 	Loaded monitor calibration from ['2019_02_04 16:32']
7.6113 	EXP 	Created win = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 128.,  128.,  128.]), colorSpace='rgb255', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x120113c8>, name='win', pos=[0, 0], screen=0, size=array([1920, 1200]), stereo=False, units='deg', useFBO=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6127 	EXP 	Created fixCross = ShapeStim(autoDraw=False, autoLog=True, closeShape=False, contrast=1.0, depth=0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor='#000000', lineColorSpace='hex', lineRGB=array([0, 0, 0]), lineWidth=3.0, name='fixCross', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 1.,  1.]), units='pix', vertices=ndarray(...), win=Window(...))
7.6594 	EXP 	Created topMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='topMsg', opacity=1.0, ori=0.0, pos=array([ 0. ,  0.5]), rgb=array([0, 0, 0]), text=u'aaa', units='norm', win=Window(...), wrapWidth=1.5)
7.6630 	EXP 	Created bottomMsg = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='bottomMsg', opacity=1.0, ori=0.0, pos=array([ 0. , -0.5]), rgb=array([0, 0, 0]), text=u'bbb', units='norm', win=Window(...), wrapWidth=1.5)
7.6858 	EXP 	Created Movie Frame 0 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_0.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 0', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7056 	EXP 	Created Movie Frame 1 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_1.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 1', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7235 	EXP 	Created Movie Frame 2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_2.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7411 	EXP 	Created Movie Frame 3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_3.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 3', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7592 	EXP 	Created Movie Frame 4 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_4.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 4', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7777 	EXP 	Created Movie Frame 5 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_5.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 5', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.7958 	EXP 	Created Movie Frame 6 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_6.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 6', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.8133 	EXP 	Created Movie Frame 7 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_7.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 7', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.8309 	EXP 	Created Movie Frame 8 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_8.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 8', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.8487 	EXP 	Created Movie Frame 9 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, image='Images/right_9.png', interpolate=False, mask=None, maskParams=None, name='Movie Frame 9', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 1600.,  1000.]), texRes=128, units='pix', win=Window(...))
7.8633 	EXP 	Created unnamed TextStim = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='#000000', colorSpace='hex', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=40, italic=False, name='unnamed TextStim', opacity=1.0, ori=0.0, pos=array([   0.,  580.]), rgb=array([0, 0, 0]), text=u'Tap along with the video.', units='pix', win=Window(...), wrapWidth=1600)
7.9219 	EXP 	topMsg: text = 'You will see a movie of a finger tapping. When it is on the screen, try to use the hand indicated to tap your fingers at the same times as the movie does. When the fixation cross appears, relax and stare at the cross.'
7.9219 	EXP 	bottomMsg: text = 'The experiment will begin shortly'
7.9219 	EXP 	Display Instructions1
8.4123 	DATA 	Keypress: t
8.4386 	EXP 	topMsg: text = "Please don't move..."
8.4386 	EXP 	bottomMsg: text = ''
8.4386 	EXP 	PleaseDontMove
9.6007 	DATA 	Keypress: t
9.6214 	EXP 	Display Fixation
9.6215 	EXP 	---START EXPERIMENT---
9.6402 	EXP 	Display Fixation
11.0846 	DATA 	Keypress: t
13.2397 	DATA 	Keypress: t
14.7247 	DATA 	Keypress: t
16.8797 	DATA 	Keypress: t
18.3648 	DATA 	Keypress: t
20.5199 	DATA 	Keypress: t
22.0049 	DATA 	Keypress: t
24.1600 	DATA 	Keypress: t
25.6449 	DATA 	Keypress: t
27.8000 	DATA 	Keypress: t
29.2849 	DATA 	Keypress: t
31.4400 	DATA 	Keypress: t
32.9252 	DATA 	Keypress: t
35.0801 	DATA 	Keypress: t
36.5651 	DATA 	Keypress: t
38.7202 	DATA 	Keypress: t
40.2053 	DATA 	Keypress: t
42.3603 	DATA 	Keypress: t
43.8443 	DATA 	Keypress: t
46.0004 	DATA 	Keypress: t
46.0540 	EXP 	Display Frame 1
46.0874 	EXP 	Display Frame 2
46.1203 	EXP 	Display Frame 3
46.1530 	EXP 	Display Frame 4
46.1701 	EXP 	Display Frame 5
46.2208 	EXP 	Display Frame 6
46.2542 	EXP 	Display Frame 7
46.2871 	EXP 	Display Frame 8
46.3210 	EXP 	Display Frame 9
46.3547 	EXP 	Display Frame 0
46.3880 	EXP 	Display Frame 1
46.4214 	EXP 	Display Frame 2
46.4548 	EXP 	Display Frame 3
46.4881 	EXP 	Display Frame 4
46.5215 	EXP 	Display Frame 5
46.5549 	EXP 	Display Frame 6
