0.3411 	WARNING 	Movie2 stim could not be imported and won't be available
0.0150 	DATA 	INITIAL INSTRUCTIONS
1.0018 	DATA 	Keypress: t
1.0150 	WARNING 	t of last frame was 999.97ms (=1/1)
30.1112 	DATA 	Keypress: t
2.2716 	DATA 	Keypress: t
2.2845 	WARNING 	t of last frame was 2268.55ms (=1/0)
4.5434 	DATA 	Keypress: t
4.5508 	WARNING 	t of last frame was 2266.31ms (=1/0)
6.8155 	DATA 	Keypress: t
6.8341 	WARNING 	t of last frame was 2283.25ms (=1/0)
9.0875 	DATA 	Keypress: t
9.1003 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.3594 	DATA 	Keypress: t
13.6314 	DATA 	Keypress: t
15.9033 	DATA 	Keypress: t
18.1752 	DATA 	Keypress: t
20.4472 	DATA 	Keypress: t
22.7191 	DATA 	Keypress: t
24.9909 	DATA 	Keypress: t
27.2632 	DATA 	Keypress: t
29.5349 	DATA 	Keypress: t
31.8068 	DATA 	Keypress: t
34.0789 	DATA 	Keypress: t
36.3507 	DATA 	Keypress: t
38.6227 	DATA 	Keypress: t
40.8946 	DATA 	Keypress: t
43.1665 	DATA 	Keypress: t
45.4385 	DATA 	Keypress: t
47.7104 	DATA 	Keypress: t
49.9823 	DATA 	Keypress: t
52.2543 	DATA 	Keypress: t
54.5263 	DATA 	Keypress: t
56.7982 	DATA 	Keypress: t
59.0701 	DATA 	Keypress: t
61.3429 	DATA 	Keypress: t
63.6150 	DATA 	Keypress: t
65.8869 	DATA 	Keypress: t
68.1589 	DATA 	Keypress: t
70.4307 	DATA 	Keypress: t
72.7028 	DATA 	Keypress: t
74.9747 	DATA 	Keypress: t
77.2466 	DATA 	Keypress: t
79.5186 	DATA 	Keypress: t
81.7905 	DATA 	Keypress: t
84.0625 	DATA 	Keypress: t
86.3344 	DATA 	Keypress: t
88.6064 	DATA 	Keypress: t
90.8783 	DATA 	Keypress: t
93.1502 	DATA 	Keypress: t
95.4222 	DATA 	Keypress: t
97.6941 	DATA 	Keypress: t
99.9660 	DATA 	Keypress: t
102.2381 	DATA 	Keypress: t
104.5099 	DATA 	Keypress: t
106.7818 	DATA 	Keypress: t
109.0538 	DATA 	Keypress: t
111.3257 	DATA 	Keypress: t
113.5977 	DATA 	Keypress: t
115.8696 	DATA 	Keypress: t
118.1414 	DATA 	Keypress: t
120.4135 	DATA 	Keypress: t
122.6854 	DATA 	Keypress: t
124.9574 	DATA 	Keypress: t
127.2293 	DATA 	Keypress: t
129.5013 	DATA 	Keypress: t
131.7732 	DATA 	Keypress: t
134.0451 	DATA 	Keypress: t
136.3171 	DATA 	Keypress: t
138.5899 	DATA 	Keypress: t
140.8619 	DATA 	Keypress: t
143.1339 	DATA 	Keypress: t
145.4059 	DATA 	Keypress: t
147.6778 	DATA 	Keypress: t
149.9497 	DATA 	Keypress: t
152.2216 	DATA 	Keypress: t
154.4936 	DATA 	Keypress: t
156.7655 	DATA 	Keypress: t
159.0374 	DATA 	Keypress: t
161.3095 	DATA 	Keypress: t
163.5813 	DATA 	Keypress: t
165.8533 	DATA 	Keypress: t
168.1251 	DATA 	Keypress: t
170.3971 	DATA 	Keypress: t
172.6691 	DATA 	Keypress: t
174.9411 	DATA 	Keypress: t
177.2130 	DATA 	Keypress: t
179.4849 	DATA 	Keypress: t
181.7569 	DATA 	Keypress: t
184.0288 	DATA 	Keypress: t
186.3007 	DATA 	Keypress: t
188.5727 	DATA 	Keypress: t
190.8446 	DATA 	Keypress: t
193.1166 	DATA 	Keypress: t
195.3885 	DATA 	Keypress: t
197.6604 	DATA 	Keypress: t
199.9322 	DATA 	Keypress: t
202.2043 	DATA 	Keypress: t
204.4762 	DATA 	Keypress: t
206.7482 	DATA 	Keypress: t
209.0202 	DATA 	Keypress: t
211.2921 	DATA 	Keypress: t
213.5640 	DATA 	Keypress: t
215.8360 	DATA 	Keypress: t
218.1088 	DATA 	Keypress: t
220.3808 	DATA 	Keypress: t
222.6528 	DATA 	Keypress: t
224.9247 	DATA 	Keypress: t
227.1965 	DATA 	Keypress: t
229.4685 	DATA 	Keypress: t
231.7406 	DATA 	Keypress: t
234.0125 	DATA 	Keypress: t
236.2844 	DATA 	Keypress: t
238.5564 	DATA 	Keypress: t
240.8283 	DATA 	Keypress: t
243.1002 	DATA 	Keypress: t
245.3722 	DATA 	Keypress: t
247.6440 	DATA 	Keypress: t
249.9164 	DATA 	Keypress: t
252.1880 	DATA 	Keypress: t
254.4600 	DATA 	Keypress: t
256.7319 	DATA 	Keypress: t
259.0038 	DATA 	Keypress: t
261.2757 	DATA 	Keypress: t
263.5477 	DATA 	Keypress: t
265.8196 	DATA 	Keypress: t
268.0916 	DATA 	Keypress: t
270.3635 	DATA 	Keypress: t
272.6355 	DATA 	Keypress: t
274.9074 	DATA 	Keypress: t
277.1793 	DATA 	Keypress: t
279.4513 	DATA 	Keypress: t
281.7231 	DATA 	Keypress: t
283.9952 	DATA 	Keypress: t
286.2671 	DATA 	Keypress: t
288.5390 	DATA 	Keypress: t
290.8109 	DATA 	Keypress: t
293.0829 	DATA 	Keypress: t
295.3548 	DATA 	Keypress: t
297.6278 	DATA 	Keypress: t
299.8997 	DATA 	Keypress: t
302.1717 	DATA 	Keypress: t
304.4436 	DATA 	Keypress: t
306.7155 	DATA 	Keypress: t
