0.2875 	WARNING 	Movie2 stim could not be imported and won't be available
0.0144 	DATA 	INITIAL INSTRUCTIONS
47.4905 	DATA 	Keypress: t
47.5023 	WARNING 	t of last frame was 47487.88ms (=1/0)
84.0373 	DATA 	Keypress: t
2.2921 	DATA 	Keypress: t
2.3014 	WARNING 	t of last frame was 2282.61ms (=1/0)
4.5434 	DATA 	Keypress: t
4.5511 	WARNING 	t of last frame was 2249.80ms (=1/0)
6.8419 	DATA 	Keypress: t
6.8500 	WARNING 	t of last frame was 2298.86ms (=1/0)
9.0917 	DATA 	Keypress: t
9.1017 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
11.3918 	DATA 	Keypress: t
13.6416 	DATA 	Keypress: t
15.9030 	DATA 	Keypress: t
18.1913 	DATA 	Keypress: t
20.4469 	DATA 	Keypress: t
22.7413 	DATA 	Keypress: t
24.9912 	DATA 	Keypress: t
27.2912 	DATA 	Keypress: t
29.5410 	DATA 	Keypress: t
31.8064 	DATA 	Keypress: t
34.0909 	DATA 	Keypress: t
36.3504 	DATA 	Keypress: t
38.6407 	DATA 	Keypress: t
40.8943 	DATA 	Keypress: t
43.1906 	DATA 	Keypress: t
45.4405 	DATA 	Keypress: t
47.7403 	DATA 	Keypress: t
49.9903 	DATA 	Keypress: t
52.2538 	DATA 	Keypress: t
54.5401 	DATA 	Keypress: t
56.7976 	DATA 	Keypress: t
59.0900 	DATA 	Keypress: t
61.3415 	DATA 	Keypress: t
63.6399 	DATA 	Keypress: t
65.8897 	DATA 	Keypress: t
68.1898 	DATA 	Keypress: t
70.4396 	DATA 	Keypress: t
72.7011 	DATA 	Keypress: t
74.9895 	DATA 	Keypress: t
77.2460 	DATA 	Keypress: t
79.5394 	DATA 	Keypress: t
81.7899 	DATA 	Keypress: t
84.0891 	DATA 	Keypress: t
86.3390 	DATA 	Keypress: t
88.6392 	DATA 	Keypress: t
90.8889 	DATA 	Keypress: t
93.1493 	DATA 	Keypress: t
95.4387 	DATA 	Keypress: t
97.6932 	DATA 	Keypress: t
99.9887 	DATA 	Keypress: t
102.2385 	DATA 	Keypress: t
104.5385 	DATA 	Keypress: t
106.7883 	DATA 	Keypress: t
109.0529 	DATA 	Keypress: t
111.3381 	DATA 	Keypress: t
113.5967 	DATA 	Keypress: t
115.8880 	DATA 	Keypress: t
118.1405 	DATA 	Keypress: t
120.4378 	DATA 	Keypress: t
122.6878 	DATA 	Keypress: t
124.9878 	DATA 	Keypress: t
127.2376 	DATA 	Keypress: t
129.5002 	DATA 	Keypress: t
131.7875 	DATA 	Keypress: t
134.0438 	DATA 	Keypress: t
136.3374 	DATA 	Keypress: t
138.5878 	DATA 	Keypress: t
140.8872 	DATA 	Keypress: t
143.1370 	DATA 	Keypress: t
145.4370 	DATA 	Keypress: t
147.6869 	DATA 	Keypress: t
149.9475 	DATA 	Keypress: t
152.2367 	DATA 	Keypress: t
154.4923 	DATA 	Keypress: t
156.7867 	DATA 	Keypress: t
159.0365 	DATA 	Keypress: t
161.3365 	DATA 	Keypress: t
163.5863 	DATA 	Keypress: t
165.8519 	DATA 	Keypress: t
168.1362 	DATA 	Keypress: t
170.3957 	DATA 	Keypress: t
172.6861 	DATA 	Keypress: t
174.9395 	DATA 	Keypress: t
177.2360 	DATA 	Keypress: t
179.4857 	DATA 	Keypress: t
181.7857 	DATA 	Keypress: t
184.0356 	DATA 	Keypress: t
186.2991 	DATA 	Keypress: t
188.5854 	DATA 	Keypress: t
190.8430 	DATA 	Keypress: t
193.1355 	DATA 	Keypress: t
195.3868 	DATA 	Keypress: t
197.6852 	DATA 	Keypress: t
199.9351 	DATA 	Keypress: t
202.2351 	DATA 	Keypress: t
204.4849 	DATA 	Keypress: t
206.7465 	DATA 	Keypress: t
209.0348 	DATA 	Keypress: t
211.2902 	DATA 	Keypress: t
213.5848 	DATA 	Keypress: t
215.8345 	DATA 	Keypress: t
218.1345 	DATA 	Keypress: t
220.3844 	DATA 	Keypress: t
222.6498 	DATA 	Keypress: t
224.9341 	DATA 	Keypress: t
227.1937 	DATA 	Keypress: t
229.4842 	DATA 	Keypress: t
231.7375 	DATA 	Keypress: t
234.0341 	DATA 	Keypress: t
236.2838 	DATA 	Keypress: t
238.5837 	DATA 	Keypress: t
240.8336 	DATA 	Keypress: t
243.0981 	DATA 	Keypress: t
245.3835 	DATA 	Keypress: t
247.6420 	DATA 	Keypress: t
249.9334 	DATA 	Keypress: t
252.1858 	DATA 	Keypress: t
254.4833 	DATA 	Keypress: t
256.7330 	DATA 	Keypress: t
259.0331 	DATA 	Keypress: t
261.2830 	DATA 	Keypress: t
263.5455 	DATA 	Keypress: t
265.8327 	DATA 	Keypress: t
268.0893 	DATA 	Keypress: t
270.3827 	DATA 	Keypress: t
272.6329 	DATA 	Keypress: t
274.9325 	DATA 	Keypress: t
277.1823 	DATA 	Keypress: t
279.4824 	DATA 	Keypress: t
281.7321 	DATA 	Keypress: t
283.9927 	DATA 	Keypress: t
286.2821 	DATA 	Keypress: t
288.5367 	DATA 	Keypress: t
290.8319 	DATA 	Keypress: t
293.0818 	DATA 	Keypress: t
295.3819 	DATA 	Keypress: t
297.6317 	DATA 	Keypress: t
299.8963 	DATA 	Keypress: t
302.1815 	DATA 	Keypress: t
304.4400 	DATA 	Keypress: t
306.7314 	DATA 	Keypress: t
308.9846 	DATA 	Keypress: t
311.2813 	DATA 	Keypress: t
313.5311 	DATA 	Keypress: t
315.8312 	DATA 	Keypress: t
318.0810 	DATA 	Keypress: t
320.3444 	DATA 	Keypress: t
322.6308 	DATA 	Keypress: t
324.8883 	DATA 	Keypress: t
327.1807 	DATA 	Keypress: t
329.4321 	DATA 	Keypress: t
331.7306 	DATA 	Keypress: t
333.9804 	DATA 	Keypress: t
336.2804 	DATA 	Keypress: t
338.5303 	DATA 	Keypress: t
340.7918 	DATA 	Keypress: t
343.0801 	DATA 	Keypress: t
345.3355 	DATA 	Keypress: t
347.6300 	DATA 	Keypress: t
349.8798 	DATA 	Keypress: t
352.1799 	DATA 	Keypress: t
354.4297 	DATA 	Keypress: t
356.6952 	DATA 	Keypress: t
358.9795 	DATA 	Keypress: t
361.2390 	DATA 	Keypress: t
363.5294 	DATA 	Keypress: t
365.7829 	DATA 	Keypress: t
368.0792 	DATA 	Keypress: t
370.3291 	DATA 	Keypress: t
372.6291 	DATA 	Keypress: t
374.8790 	DATA 	Keypress: t
377.1424 	DATA 	Keypress: t
379.4288 	DATA 	Keypress: t
381.6863 	DATA 	Keypress: t
383.9788 	DATA 	Keypress: t
386.2302 	DATA 	Keypress: t
388.5285 	DATA 	Keypress: t
390.7784 	DATA 	Keypress: t
393.0783 	DATA 	Keypress: t
395.3281 	DATA 	Keypress: t
397.5907 	DATA 	Keypress: t
399.8781 	DATA 	Keypress: t
402.1346 	DATA 	Keypress: t
404.4281 	DATA 	Keypress: t
406.6784 	DATA 	Keypress: t
408.9780 	DATA 	Keypress: t
411.2277 	DATA 	Keypress: t
413.5275 	DATA 	Keypress: t
415.7777 	DATA 	Keypress: t
418.0381 	DATA 	Keypress: t
420.3273 	DATA 	Keypress: t
422.5819 	DATA 	Keypress: t
424.8773 	DATA 	Keypress: t
427.1271 	DATA 	Keypress: t
429.4271 	DATA 	Keypress: t
431.6769 	DATA 	Keypress: t
433.9415 	DATA 	Keypress: t
436.2268 	DATA 	Keypress: t
438.4853 	DATA 	Keypress: t
440.7767 	DATA 	Keypress: t
443.0290 	DATA 	Keypress: t
445.3265 	DATA 	Keypress: t
447.5764 	DATA 	Keypress: t
449.8764 	DATA 	Keypress: t
452.1262 	DATA 	Keypress: t
454.3888 	DATA 	Keypress: t
456.6761 	DATA 	Keypress: t
458.9326 	DATA 	Keypress: t
461.2261 	DATA 	Keypress: t
463.4773 	DATA 	Keypress: t
465.7758 	DATA 	Keypress: t
468.0257 	DATA 	Keypress: t
470.3257 	DATA 	Keypress: t
472.5755 	DATA 	Keypress: t
474.8371 	DATA 	Keypress: t
477.1254 	DATA 	Keypress: t
479.3809 	DATA 	Keypress: t
481.6752 	DATA 	Keypress: t
483.9251 	DATA 	Keypress: t
486.2251 	DATA 	Keypress: t
488.4750 	DATA 	Keypress: t
490.7405 	DATA 	Keypress: t
493.0248 	DATA 	Keypress: t
495.2844 	DATA 	Keypress: t
497.5747 	DATA 	Keypress: t
499.8282 	DATA 	Keypress: t
502.1246 	DATA 	Keypress: t
504.3745 	DATA 	Keypress: t
506.6745 	DATA 	Keypress: t
508.9243 	DATA 	Keypress: t
511.1878 	DATA 	Keypress: t
513.4741 	DATA 	Keypress: t
515.7316 	DATA 	Keypress: t
518.0241 	DATA 	Keypress: t
520.2755 	DATA 	Keypress: t
522.5739 	DATA 	Keypress: t
524.8238 	DATA 	Keypress: t
527.1243 	DATA 	Keypress: t
529.3737 	DATA 	Keypress: t
531.6351 	DATA 	Keypress: t
533.9233 	DATA 	Keypress: t
536.1789 	DATA 	Keypress: t
538.4732 	DATA 	Keypress: t
540.7232 	DATA 	Keypress: t
543.0232 	DATA 	Keypress: t
545.2730 	DATA 	Keypress: t
547.5730 	DATA 	Keypress: t
549.8229 	DATA 	Keypress: t
552.0833 	DATA 	Keypress: t
554.3727 	DATA 	Keypress: t
556.6272 	DATA 	Keypress: t
558.9226 	DATA 	Keypress: t
561.1725 	DATA 	Keypress: t
563.4726 	DATA 	Keypress: t
565.7223 	DATA 	Keypress: t
567.9868 	DATA 	Keypress: t
570.2721 	DATA 	Keypress: t
572.5307 	DATA 	Keypress: t
574.8220 	DATA 	Keypress: t
577.0745 	DATA 	Keypress: t
579.3719 	DATA 	Keypress: t
581.6218 	DATA 	Keypress: t
583.9218 	DATA 	Keypress: t
586.1716 	DATA 	Keypress: t
588.4341 	DATA 	Keypress: t
590.7213 	DATA 	Keypress: t
592.9778 	DATA 	Keypress: t
595.2712 	DATA 	Keypress: t
597.5218 	DATA 	Keypress: t
599.8211 	DATA 	Keypress: t
602.0710 	DATA 	Keypress: t
604.3710 	DATA 	Keypress: t
606.6210 	DATA 	Keypress: t
608.8814 	DATA 	Keypress: t
611.1707 	DATA 	Keypress: t
613.4252 	DATA 	Keypress: t
615.7207 	DATA 	Keypress: t
617.9705 	DATA 	Keypress: t
620.2705 	DATA 	Keypress: t
622.5203 	DATA 	Keypress: t
624.7858 	DATA 	Keypress: t
627.0701 	DATA 	Keypress: t
629.3297 	DATA 	Keypress: t
631.6200 	DATA 	Keypress: t
633.8735 	DATA 	Keypress: t
636.1699 	DATA 	Keypress: t
638.4197 	DATA 	Keypress: t
640.7197 	DATA 	Keypress: t
642.9695 	DATA 	Keypress: t
645.2331 	DATA 	Keypress: t
647.5194 	DATA 	Keypress: t
649.7769 	DATA 	Keypress: t
652.0693 	DATA 	Keypress: t
654.3208 	DATA 	Keypress: t
656.6192 	DATA 	Keypress: t
658.8691 	DATA 	Keypress: t
661.1690 	DATA 	Keypress: t
663.4189 	DATA 	Keypress: t
665.6804 	DATA 	Keypress: t
667.9687 	DATA 	Keypress: t
670.2242 	DATA 	Keypress: t
672.5186 	DATA 	Keypress: t
674.7685 	DATA 	Keypress: t
677.0684 	DATA 	Keypress: t
679.3183 	DATA 	Keypress: t
681.5839 	DATA 	Keypress: t
683.8681 	DATA 	Keypress: t
686.1276 	DATA 	Keypress: t
688.4180 	DATA 	Keypress: t
690.6714 	DATA 	Keypress: t
692.9681 	DATA 	Keypress: t
695.2178 	DATA 	Keypress: t
697.5178 	DATA 	Keypress: t
699.7675 	DATA 	Keypress: t
702.0323 	DATA 	Keypress: t
704.3176 	DATA 	Keypress: t
706.5759 	DATA 	Keypress: t
708.8674 	DATA 	Keypress: t
711.1198 	DATA 	Keypress: t
713.4172 	DATA 	Keypress: t
715.6672 	DATA 	Keypress: t
717.9670 	DATA 	Keypress: t
720.2168 	DATA 	Keypress: t
722.4793 	DATA 	Keypress: t
724.7667 	DATA 	Keypress: t
727.0234 	DATA 	Keypress: t
729.3166 	DATA 	Keypress: t
731.5671 	DATA 	Keypress: t
733.8665 	DATA 	Keypress: t
736.1163 	DATA 	Keypress: t
738.4163 	DATA 	Keypress: t
740.6661 	DATA 	Keypress: t
742.9266 	DATA 	Keypress: t
745.2160 	DATA 	Keypress: t
747.4705 	DATA 	Keypress: t
749.7660 	DATA 	Keypress: t
752.0158 	DATA 	Keypress: t
754.3158 	DATA 	Keypress: t
756.5655 	DATA 	Keypress: t
758.8303 	DATA 	Keypress: t
761.1154 	DATA 	Keypress: t
763.3739 	DATA 	Keypress: t
765.6653 	DATA 	Keypress: t
767.9178 	DATA 	Keypress: t
770.2151 	DATA 	Keypress: t
772.4652 	DATA 	Keypress: t
774.7651 	DATA 	Keypress: t
777.0148 	DATA 	Keypress: t
779.2784 	DATA 	Keypress: t
781.5646 	DATA 	Keypress: t
783.8222 	DATA 	Keypress: t
786.1146 	DATA 	Keypress: t
788.3660 	DATA 	Keypress: t
790.6645 	DATA 	Keypress: t
792.9143 	DATA 	Keypress: t
795.2143 	DATA 	Keypress: t
797.4642 	DATA 	Keypress: t
799.7257 	DATA 	Keypress: t
802.0140 	DATA 	Keypress: t
804.2695 	DATA 	Keypress: t
806.5638 	DATA 	Keypress: t
808.8137 	DATA 	Keypress: t
811.1137 	DATA 	Keypress: t
813.3636 	DATA 	Keypress: t
815.6291 	DATA 	Keypress: t
817.9134 	DATA 	Keypress: t
820.1729 	DATA 	Keypress: t
822.4633 	DATA 	Keypress: t
824.7168 	DATA 	Keypress: t
827.0131 	DATA 	Keypress: t
829.2630 	DATA 	Keypress: t
831.5630 	DATA 	Keypress: t
833.8128 	DATA 	Keypress: t
836.0763 	DATA 	Keypress: t
838.3628 	DATA 	Keypress: t
840.6202 	DATA 	Keypress: t
842.9126 	DATA 	Keypress: t
845.1641 	DATA 	Keypress: t
847.4625 	DATA 	Keypress: t
849.7123 	DATA 	Keypress: t
852.0123 	DATA 	Keypress: t
854.2621 	DATA 	Keypress: t
856.5247 	DATA 	Keypress: t
858.8120 	DATA 	Keypress: t
861.0685 	DATA 	Keypress: t
863.3620 	DATA 	Keypress: t
865.6123 	DATA 	Keypress: t
867.9117 	DATA 	Keypress: t
870.1617 	DATA 	Keypress: t
872.4617 	DATA 	Keypress: t
874.7114 	DATA 	Keypress: t
876.9719 	DATA 	Keypress: t
879.2613 	DATA 	Keypress: t
